id_model,id_hairModel,id_lesion,id_timePoint,id_lesionMat,id_fracBlood,id_mel,id_light,id_hairAlbedo,mi_variant,lesion_scale,lesion_shape,origin_y,calChart_params,ruler_params
5.0,5.0,1.0,15.0,15.0,0.05,0.02,19.0,2.0,cuda_spectral,1.5,flat,15.0,"[7, 5, 4, 1]","[-1, -4]"
30.0,55.0,5.0,15.0,14.0,0.002,0.37,19.0,2.0,cuda_spectral,1.5,flat,15.0,"[-7, 8, 4, 0]","[-3, 6]"
